random_forest_weight,weighted_mlp_weight,ft_transformer_weight,tabnet_v1_weight,rows,positive_rate_actual,positive_rate_predicted,average_probability,roc_auc,average_precision,log_loss,brier_score,accuracy,balanced_accuracy,precision,recall,f1,threshold
0.2,0.1,0.2,0.5,19980,0.10490490490490491,0.5337837837837838,0.5069327858410333,0.6640830282857635,0.22477206692932794,0.7145707643831007,0.25983056385363984,0.5120620620620621,0.6031888497714705,0.14120956399437412,0.7185114503816794,0.23603165896089648,0.5
0.5,0.2,0.2,0.1,19980,0.10490490490490491,0.3928928928928929,0.46632934914005025,0.6640705966013376,0.22732878915317012,0.6423648799885496,0.22555643203882322,0.6303303303303304,0.6216597717948236,0.16305732484076432,0.6106870229007634,0.2573899054896441,0.5
0.3,0.0,0.1,0.6,19980,0.10490490490490491,0.5590590590590591,0.508595692239712,0.6638901771125539,0.21773100798276923,0.7148800804571657,0.26022442356621334,0.49099099099099097,0.6002634023161989,0.13858549686660698,0.7385496183206107,0.23337856173677068,0.5
0.7,0.1,0.2,0.0,19980,0.10490490490490491,0.33458458458458457,0.44933570273756407,0.6638677413902315,0.2245201254207345,0.6159669499779149,0.2129309994449109,0.6775275275275275,0.6246484447696008,0.17486910994764399,0.5577290076335878,0.2662566905819383,0.5
0.4,0.3,0.1,0.2,19980,0.10490490490490491,0.4415415415415415,0.4789407151023139,0.6636149726993807,0.22821272132462675,0.6617013109752519,0.23484308742093307,0.5886886886886887,0.6131401730575841,0.1530265245975969,0.6440839694656488,0.24729803993405386,0.5
0.2,0.2,0.2,0.4,19980,0.10490490490490491,0.5167667667667668,0.5008875990021319,0.6635539880843638,0.22787302914573965,0.703052024164681,0.25443763017555665,0.5263763763763764,0.6054988488153512,0.14324455205811137,0.7056297709923665,0.23814507688591902,0.5
0.4,0.1,0.0,0.5,19980,0.10490490490490491,0.5260760760760761,0.49816822496058805,0.6634157989742205,0.21729221776021201,0.6934467139573535,0.25017826380008645,0.51996996996997,0.6080273894017596,0.14346874702692416,0.7194656488549618,0.2392321726025224,0.5
0.4,0.2,0.0,0.4,19980,0.10490490490490491,0.49769769769769767,0.4921230381216867,0.6633978984157446,0.22014380124496982,0.6827724904508403,0.2450351787404343,0.5432432432432432,0.6102876617079362,0.14652051488334675,0.6951335877862596,0.2420265780730897,0.5
0.3,0.3,0.1,0.3,19980,0.10490490490490491,0.4833833833833834,0.49046013172300773,0.6633873875065948,0.22819937771800292,0.6816241849437062,0.24442039545961014,0.5540540540540541,0.6089558708282895,0.14723545247463243,0.6784351145038168,0.24196018376722817,0.5
0.6,0.0,0.3,0.1,19980,0.10490490490490491,0.3865365365365365,0.4597631700166882,0.6632622703393027,0.2205245683093775,0.6343819896803259,0.2219225014146588,0.6354854854854854,0.6220123407677296,0.16418490224006216,0.6049618320610687,0.25827477339851307,0.5
0.3,0.0,0.3,0.4,19980,0.10490490490490491,0.48673673673673673,0.4943214198787696,0.6629308298944342,0.21790270225414848,0.6946251390927709,0.2502115140805983,0.5524024024024023,0.6116133167776732,0.14796915167095115,0.6865458015267175,0.2434650198798748,0.5
0.2,0.2,0.1,0.5,19980,0.10490490490490491,0.5547547547547548,0.508024735182603,0.6626715252321577,0.22659290525686465,0.7141244267707978,0.25990576576263735,0.4937937937937938,0.5986701725795244,0.13830747022735473,0.7313931297709924,0.23262518968133536,0.5
0.7,0.2,0.0,0.1,19980,0.10490490490490491,0.35695695695695695,0.4575647882596051,0.6625307217334442,0.21820437018595373,0.6268240247361957,0.2179354476280971,0.6612612612612613,0.6284082023080035,0.17246214245653393,0.5868320610687023,0.2665799739921977,0.5
0.4,0.1,0.3,0.2,19980,0.10490490490490491,0.43648648648648647,0.4767568164191744,0.6623365100110807,0.22476379207569272,0.6629726359499951,0.23540973177247138,0.5943443443443444,0.6175629715503304,0.15548675610595114,0.6469465648854962,0.2507164648238883,0.5
